Scan Name,Dice Coefficient,Jaccard Index
ct20000009,0.8179936842750712,0.6920383363378163
ct30000012,0.6159640304829568,0.4450491490462465
ct20000004,0.9474594995480636,0.9001644109098382
ct30000011,0.658481954750489,0.4908483766448456
ct20000010,0.8006420137619782,0.667558829764681
ct30000004,0.7416564970552343,0.5893911283521673
ct30000005,0.7392176383812106,0.5863166085477968
ct20000012,0.7423340503226452,0.59024739479755
ct30000007,0.7164691920809237,0.5582017881148479
ct30000003,0.7484723772321429,0.5980470295788072
ct30000006,0.7198690432884686,0.5623401570865112
ct30000008,0.7054295294617697,0.54491396607284
ct20000011,0.7794453749618396,0.6385993375245048
ct30000010,0.6452418968883543,0.47627830784428965
ct20000007,0.8750570272818516,0.7778678995322681
ct20000008,0.8321193546168133,0.7125037630397508
ct30000009,0.6934994731041806,0.5308068836006526
Average Scores,0.7517266257349409,0.6094807862820831
