Scan Name,Dice Coefficient,Jaccard Index
ct40000006,0.7835883382811906,0.644180225281602
ct90000008,0.6436771953405018,0.4745752214216405
ct90000005,0.6388267838872257,0.4693207126948775
ct90000002,0.647142336073623,0.4783521233086948
ct90000001,0.6565269661978919,0.4886789311579123
ct90000000,0.6496626858502719,0.4811114075295677
ct40000000,0.9056690415228765,0.8276006764747021
ct40000007,0.7271553926269841,0.5712837124146187
ct40000001,0.888550643856565,0.799452209806216
ct90000007,0.5933213558827625,0.4217888416548058
ct40000003,0.8570646990543928,0.749880328611165
ct90000003,0.6499220348611409,0.48139592797094105
ct90000006,0.621160542338592,0.450495189187664
ct90000009,0.619062334451704,0.44829129503532494
ct90000004,0.6754047042439256,0.509895140355611
ct40000005,0.8283643702412623,0.7070153460695271
Average Scores,0.7115687140444319,0.5627073305609294
