epoch,dice_hard,loss,val_dice_hard,val_loss
0,0.30236540886312,0.44356640793383123,0.7075033366680146,0.4657902737458547
1,0.8746139133349061,0.2746383241191506,0.7105030655860901,0.6648497641086578
2,0.924404589086771,0.2330254527553916,0.823451026280721,0.41661476492881777
3,0.9391640098392964,0.2118098034337163,0.6081210186084112,0.9934787531693776
4,0.9428306409716606,0.20013143938034772,0.6856012403964996,0.7998944640159606
5,0.948259195536375,0.18720713138580322,0.7682381510734558,0.5568740566571554
6,0.9533227606117726,0.17578144621104003,0.6477254172166188,1.17690522869428
7,0.957223175317049,0.16621514067053794,0.7824742595354716,0.5713912069797515
8,0.9593997217714787,0.16247650694102048,0.846402645111084,0.3978022575378418
9,0.9634673319756984,0.16017678700387478,0.81225625872612,0.47902874946594237
10,0.9616789802908897,0.15813385155051946,0.8253974537054698,0.46739010214805604
11,0.9610174484550953,0.16121931556612254,0.8246880610783894,0.4689762145280838
12,0.9630076232552528,0.1578525909036398,0.8067210793495179,0.5653598581751188
13,0.9634079131484031,0.15654315792024134,0.8134613931179047,0.5121387153863907
14,0.9626567657291889,0.15579640462994576,0.8064949373404185,0.554420480132103
