epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.2677697393670678,0.04788993712048978,0.07615757355359266,0.2198798022419214,0.1347146918376287,0.013591242550561825,0.14915744960308075,0.12112344826261202
1,0.16042289787903427,0.025100269173271954,0.6614789160445799,0.13532262858003377,0.09208091323574384,0.012610203928003709,0.8543288866678874,0.07947070946296056
2,0.20561284195631743,0.025169698556419463,0.32818534540188393,0.18044314320199192,0.16890855481227238,0.014578792204459508,0.22711159785588583,0.15432976186275482
3,0.1737685631029308,0.025961618430446833,0.539425865188241,0.14780694444663822,0.10354108388225237,0.014850562407324712,0.7303681333859762,0.08869052181641261
4,0.14077171320095658,0.02514560018433258,0.7694423586130142,0.11562611322849989,0.08043179139494896,0.012733896418164173,0.8195775369803111,0.06769789457321167
5,0.13358101565390826,0.025297297178767622,0.7831692578643561,0.10828371863812208,0.08032117163141568,0.012984914363672335,0.8714411457379659,0.06733625754714012
6,0.1312987757474184,0.024308764152228834,0.7898095857352019,0.1069900114275515,0.08239457632104556,0.012322295767565569,0.822990071773529,0.07007228136062622
7,0.12997306544333698,0.02562413833104074,0.8145672407746315,0.10434892699122429,0.08434319247802098,0.013813036928574244,0.7738480925559997,0.07053015604615212
8,0.1223576219752431,0.02432622566819191,0.8236392963677645,0.09803139603696763,0.0725626915693283,0.011780778070290883,0.8467929482460022,0.060781912257273994
9,0.11954097072593868,0.024428472608560695,0.8289560180902481,0.09511249808594585,0.0651607546955347,0.011372287943959235,0.8256066004435222,0.05378846737245719
