epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.45313754826784136,0.15634634611507256,0.005207662694446459,0.296791202177604,0.3410847661495209,0.11220969122648239,1.962401463551089e-10,0.22887507569789886
1,0.32932220831513404,0.06090170256793499,1.7394295957299613e-10,0.2684205057223638,0.2585776520371437,0.034828183338046076,1.9623541411273315e-10,0.2237494648694992
2,0.2819116680820783,0.03385507350166639,1.7623539317705253e-10,0.24805659388502438,0.2218921993970871,0.027228697448968886,1.962401463551089e-10,0.19466350027918816
3,0.2134975067526102,0.029419009561340016,0.153405521472183,0.18407849758863448,0.11877909830212594,0.015109641974791884,0.712038599729538,0.10366945613920689
4,0.15264199810723464,0.025572929518918198,0.728639405965805,0.1270690687497457,0.09877366074919701,0.01361639491096139,0.8437184302806854,0.08515726438164711
5,0.14315562131504217,0.024829149451106786,0.7764897191524506,0.1183264717956384,0.09817058159410953,0.01299981589242816,0.6777435141801834,0.08517076560854912
6,0.13798377014696597,0.024997115243847172,0.7890788198510805,0.11298665468891461,0.080778385668993,0.012401061875745654,0.8789874719381332,0.0683773233294487
7,0.13117894411087036,0.024705179687589406,0.7935296578208605,0.10647376471509536,0.07824435319006443,0.012821199256926775,0.8471461297273636,0.0654231540337205
8,0.12007046714425088,0.023994136260201533,0.8074216717481613,0.09607633106410503,0.0733026977032423,0.012362775824964046,0.8523829433917999,0.06093992169201374
9,0.12271369876960914,0.024805594319477677,0.7965838620066643,0.09790810455878575,0.07669964152574539,0.012967150023207068,0.7962139735221863,0.0637324924916029
10,0.11736689054717621,0.025206511768822867,0.8090512975056966,0.09216037854552268,0.07180226688086987,0.012521771794185042,0.8289439396858216,0.05928049492090941
11,0.1134120778242747,0.02486511613552769,0.8161894135673841,0.08854696164528529,0.06826946851611138,0.01254062969982624,0.8425916788578034,0.0557288386374712
12,0.10747398583839338,0.024018477983772754,0.8252277050415675,0.08345550785462062,0.06667680747061967,0.012153820686042309,0.8755301725864411,0.05452298697829246
13,0.10778096677114567,0.02377290766686201,0.8289175810416539,0.0840080588683486,0.06742867630720138,0.01252034131065011,0.8676657490730285,0.05490833482891321
14,0.10757141807427009,0.024248673484350246,0.8308055394887924,0.08332274455577135,0.06770761310309172,0.012499535486102104,0.8578829978704452,0.05520807696133852
15,0.10826080083847046,0.023979061236605047,0.8315301092465719,0.0842817398533225,0.06728893174976111,0.012567518668249249,0.8659038727283478,0.054721413485705854
16,0.1068709205215176,0.024010263889407118,0.8348541537920634,0.08286065671592951,0.06674416552484036,0.012333667244762182,0.8721412611007691,0.05441049890965223
17,0.10914984080940485,0.024003299806887906,0.833167109688123,0.08514654111117125,0.06712135062366724,0.01251367599144578,0.8648095691204071,0.05460767477750778
18,0.10702990817526976,0.024387977480267484,0.830517069498698,0.08264193075398604,0.06700537656247615,0.012422227934002876,0.8661180644035339,0.05458314932882786
19,0.10559015307575464,0.024025697245573005,0.8321925226847331,0.08156445578982432,0.06692827329039573,0.012416701089590788,0.8668659880161286,0.05451157216727734
20,0.1077242690573136,0.02454185060225427,0.8299482721090317,0.08318241845816374,0.06703611160069704,0.012497288137674332,0.8664234049320221,0.05453882315009832
21,0.10812616294870774,0.025450717012087506,0.83233979900678,0.08267544611046712,0.06707018613815308,0.012460549253970384,0.8660531706809997,0.05460963704437018
22,0.10794071959952513,0.024847870304559667,0.8319252534707388,0.08309284903109074,0.06711850025504827,0.012509784545749426,0.8660763980150222,0.05460871640592813
23,0.10652376019706329,0.023960494721929234,0.8320509020487468,0.08256326549996933,0.06710941549390555,0.012522055195644498,0.8662247797250747,0.05458736017346382
24,0.10628971114754676,0.024107968872413038,0.8339207426706949,0.08218174231549104,0.06706639013439417,0.01246015728265047,0.8663475369215011,0.05460623271018267
25,0.10750441130250693,0.024308962284897765,0.8340895056724549,0.08319544902692239,0.06702448261529208,0.012422879239544273,0.8664385058879852,0.05460160309821367
26,0.10362904076774915,0.023327308899412553,0.8329633682966232,0.08030173196146885,0.06708902548998594,0.012497700223699212,0.8664744987487792,0.05459132537990809
27,0.10628823732336362,0.024304313249886036,0.8314920534690221,0.08198392414798339,0.06719615276902914,0.012622238991782069,0.8665255305767059,0.05457391360402107
