epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.41442395928502085,0.12328333308547736,0.008074420544945013,0.2911406265795231,0.26836058298746746,0.04479770722488562,1.9624017688624207e-10,0.22356287439664205
1,0.2720597770214081,0.03332717570662498,1.758453405872884e-10,0.2387326014637947,0.19939231276512145,0.021536091590921083,1.960809089170586e-10,0.1778562232851982
2,0.2122869746387005,0.02684474255144596,0.060185609127815225,0.18544223235547544,0.15535444468259813,0.014979489147663116,0.4232115079959234,0.14037495702505112
3,0.18363266327977182,0.026034463601186872,0.4380019906663801,0.15759819966554642,0.1219574066499869,0.014126248347262541,0.7093218664328257,0.10783115873734156
4,0.14299917928874492,0.02492431232519448,0.7686149317622185,0.11807486695051193,0.08540921260913213,0.013235612865537405,0.8686355372269948,0.07217359890540441
5,0.12790032990276815,0.02508831725269556,0.8004805983901024,0.10281201287358999,0.09610030104716619,0.013620762154459953,0.5646278262138367,0.08247954025864601
6,0.12108617150038481,0.024980213532224297,0.8111332005858422,0.09610595813393592,0.07333476121226946,0.01267377802481254,0.831951916217804,0.06066098486383756
7,0.11532145799696446,0.025295404164120554,0.8261549008488656,0.09002605363726617,0.06851288204391798,0.0124961839367946,0.8679238816102346,0.05601669872800509
8,0.11113335579633712,0.02546285001374781,0.841188809633255,0.085670505464077,0.07531942116717498,0.014392760364959638,0.8299900392691294,0.06092666077117125
9,0.11065586778521538,0.025489214776083825,0.8408752140402794,0.0851666530519724,0.06433760474125544,0.013103762020667395,0.886476997534434,0.051233842968940735
10,0.10097398782521486,0.024522133123129605,0.8522290181517601,0.0764518546834588,0.06187474193672339,0.01317325485870242,0.8766944507757822,0.048701487481594086
11,0.09988826759159565,0.02467757021635771,0.8560204897522926,0.07521069747954608,0.06160859713951747,0.012439195159822702,0.9212893644968668,0.04916940281788508
12,0.10057201505452394,0.025224494734779,0.8564448351860047,0.07534752038121223,0.05921241194009781,0.0125322417045633,0.9122168819109598,0.046680170421799026
13,0.0964295060262084,0.025301165742799638,0.8682946253418923,0.07112834059074521,0.06272034905850887,0.012154337639609972,0.9254316886266073,0.05056601203978062
14,0.09317400308698416,0.024256324153393505,0.8733577416539192,0.06891767885908484,0.05717708791295687,0.012076936351756254,0.8654515584309895,0.04510015199581782
15,0.09128657284379005,0.02462900561001152,0.8747634711265564,0.06665756727010011,0.05431473751862844,0.011835891380906105,0.8972719689210256,0.042478845765193306
16,0.08438418347388506,0.024019151087850334,0.8882148509025574,0.060365032259374854,0.04605822078883648,0.01099197929725051,0.93556280930837,0.03506624201933543
17,0.08474127276241779,0.02406128131132573,0.8906393991708755,0.06067999149113894,0.04626091805597146,0.011070244231571753,0.9337573528289795,0.03519067354500294
18,0.0824675453826785,0.02387988806143403,0.8959607870578766,0.05858765729889274,0.045895551020900406,0.011230271216481924,0.9328283071517944,0.03466527983546257
19,0.07722792269289494,0.022971808007918298,0.9031261621713639,0.05425611466541886,0.048466810335715614,0.011143497936427594,0.8981326878070831,0.03732331246137619
20,0.07868904509395361,0.023796377547085284,0.9017401812076569,0.05489266766980291,0.0416058444728454,0.010586941956231992,0.9359281500180562,0.031018902299304804
21,0.08168399870768189,0.024601876558735965,0.897919379234314,0.05708212217316031,0.042944980412721635,0.010491056833416224,0.9257023970286051,0.03245392305155595
22,0.07724694320932031,0.023373853594064714,0.9045494743585587,0.05387308972328901,0.04222290193041166,0.010428224348773558,0.9321593840916952,0.03179467661927144
23,0.07223211001232266,0.023330987439490854,0.913386021733284,0.04890112250298262,0.04377011569837729,0.010488766400764385,0.9242245256900787,0.03328134988745054
24,0.07523521737009287,0.02283178659528494,0.9043313969373703,0.05240343065932393,0.04526074801882108,0.0099333966926982,0.9051410635312398,0.035327351093292235
25,0.07288671740144491,0.023109390791505577,0.9089620603322983,0.04977732647582889,0.05063046589493751,0.011876161210238934,0.879347296555837,0.038754305243492125
26,0.06832418039441109,0.023312559865415097,0.9189454910755157,0.04501162078231573,0.03888078617552916,0.009935611175994079,0.934156201283137,0.02894517530997594
27,0.06705880462750792,0.02350155754201114,0.9244882681369782,0.04355724710226059,0.03909355985621611,0.01023722526927789,0.9354655146598816,0.02885633483529091
28,0.06499966061487794,0.023091482856310904,0.9269546953439712,0.04190817770734429,0.03833317769070466,0.01018704113860925,0.9397779504458109,0.028146136552095413
29,0.0623659302033484,0.022211356092244387,0.9297857912778854,0.04015457418188453,0.0381537351757288,0.01004218946521481,0.9404206732908885,0.028111545306940874
30,0.0649586326740682,0.02361096095573157,0.928311052441597,0.041347671743482355,0.038591438656051955,0.010121993316958348,0.93776961962382,0.028469445866843066
31,0.0648323330283165,0.023083268593996762,0.9282601189613342,0.041749064456671474,0.03873089241484801,0.009934133617207408,0.936771035194397,0.0287967586889863
32,0.0650121626071632,0.023280882991850375,0.9293910863399506,0.04173127971962094,0.03829826402167479,0.010204954662670691,0.9415550430615743,0.028093308955430985
33,0.06293184570595622,0.022645058705471455,0.9309545868635177,0.040286787059158086,0.03853367368380229,0.009971060107151668,0.9363587299982706,0.028562614383796852
34,0.06293187960982323,0.022742006950080395,0.9300654244422912,0.04018987254053354,0.03926770177980264,0.010464394340912501,0.9369338711102804,0.02880330787350734
35,0.06532587035745382,0.022799637926742434,0.9266653290987015,0.04252623264491558,0.038704334075252214,0.010364122968167067,0.9363670349121094,0.028340211138129234
