epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.3498704070225358,0.13522760869003833,0.0005193622045365128,0.21464279916137458,0.24071328788995744,0.05314258945484956,1.834847773718451e-10,0.1875706985592842
1,0.183822911195457,0.031306621660478415,2.072622590568174e-10,0.15251629000529646,0.15411287397146226,0.02187401888271173,1.900504938608568e-10,0.13223885372281075
2,0.13294739834964275,0.019907429898157716,0.0021404594937712153,0.11303996856324375,0.13513013521830242,0.018022272797922293,1.1026296397298231e-05,0.1171078622341156
3,0.10459223994985223,0.01809083513217047,0.37479060051389884,0.08650140480138362,0.08130037461717923,0.016055496068050464,0.8795105179150899,0.06524487833182017
4,0.08524192825891078,0.01805910003371537,0.7938855586946011,0.06718282813206315,0.07270954648653666,0.017610072003056605,0.7836203336715698,0.055099474638700484
5,0.07906881778500974,0.01758162863785401,0.8160818219184875,0.0614871889911592,0.06651532985270023,0.016493778458486,0.8917815526326497,0.05002155092855295
6,0.07375685517676174,0.018766836067661642,0.8331956589967012,0.0549900190345943,0.06252078041434288,0.017416983315100273,0.8752290586630503,0.045103797068198524
7,0.07268969425931573,0.01801449620630592,0.8265469859540463,0.05467519795987755,0.0640962957094113,0.017433596340318522,0.9070933103561402,0.04666269967953364
8,0.06997985549271107,0.01756576601183042,0.825392329543829,0.05241408954374492,0.054985790078838664,0.016578602635612092,0.9333976924419403,0.038407187536358835
9,0.06578052638098597,0.017534709275932984,0.8406684364378453,0.048245816994458436,0.05826824096341928,0.01631043863793214,0.9231167078018189,0.04195780207713445
10,0.06733196298591793,0.01839585102512501,0.8377301037311554,0.048936111787334084,0.05236677216986815,0.015704381683220466,0.8752360085646311,0.036662390703956285
11,0.06227661699987948,0.017665099955629558,0.854035791233182,0.04461151690687984,0.043989657796919344,0.014669278947015604,0.9254623452822367,0.029320378539462885
