epoch,loss,out_recon_loss,out_seg_dice_hard,out_seg_loss,val_loss,val_out_recon_loss,val_out_seg_dice_hard,val_out_seg_loss
0,0.3593557501286268,0.08400175330415369,0.0009762806959040105,0.2753539969474077,0.255088174700737,0.024142679326236247,1.962401463551089e-10,0.23094549956917762
1,0.21365567088872195,0.027059301989153028,0.3094343397712398,0.18659636873751878,0.0977674707621336,0.012671081373468042,0.799139567732811,0.08509638917446137
2,0.14456419571489096,0.024402561481576414,0.7478049602657556,0.12016163411363959,0.09888909676671029,0.014152603851631284,0.6039083136320114,0.08473649294674397
3,0.14359073508530856,0.02475940007995814,0.7416113050282002,0.1188313351869583,0.08946154277026654,0.013636221691966056,0.72371446621418,0.07582532104849815
4,0.13519335903227328,0.024658369343727827,0.7827285624444484,0.11053498972952366,0.08357788370549679,0.01189272185601294,0.8666046061515809,0.07168516165018082
5,0.1337095558643341,0.024588568934239448,0.7746589261591434,0.10912098716944456,0.07707935944199562,0.012203639069572092,0.898418590426445,0.06487571924179793
6,0.12312635518983006,0.024927793291397392,0.7924703969210386,0.0981985620893538,0.06592710410803557,0.01228670185059309,0.8957118145227432,0.05364040247350931
7,0.11746086282655596,0.024625138527713718,0.8178922123461961,0.09283572430536151,0.07535358309745789,0.013858247864991426,0.7861056052446366,0.06149533424526453
8,0.11144012499600649,0.024412458335980772,0.8319021131098271,0.08702766667678952,0.06126047069579363,0.012557035380974411,0.8936136775016784,0.04870343442261219
9,0.10768145322054624,0.02383318700734526,0.8443305326104165,0.08384826608002185,0.05462494043260813,0.01064544821716845,0.8935876622200012,0.043979492470622064
