Scan Name,Dice Coefficient,Jaccard Index
ct20000009,0.883093488776894,0.7906601670804414
ct30000012,0.7551749212248525,0.6066514356924035
ct20000004,0.9418853483941894,0.8901543391018828
ct30000011,0.873571535846429,0.7755233143037223
ct20000010,0.8779111849108017,0.7823901041567853
ct30000004,0.8461871680918994,0.7333833917348017
ct30000005,0.841641125507596,0.7265806340685268
ct20000012,0.8852005193659815,0.7940446104823645
ct30000007,0.8703699365086802,0.7704911232785797
ct30000003,0.798943839240764,0.6652010666476407
ct30000006,0.8493125687858898,0.7380914623267985
ct30000008,0.8655204713702976,0.762922952356601
ct20000011,0.9078287614117545,0.8312146752602876
ct30000010,0.8414082360636282,0.7262335727339394
ct20000007,0.9145175418376285,0.8424986833834497
ct20000008,0.8987050022462254,0.8160438430023234
ct30000009,0.8579089825044007,0.7511739164061033
Average Scores,0.8652459195345832,0.7648976054127442
