Scan Name,Dice Coefficient,Jaccard Index
ct90000000,0.030226700251889168,0.015345268542199489
ct90000001,0.03010071660599729,0.015280332786423375
ct90000002,0.03997247796599063,0.02039383504396376
ct90000003,0.04232412609763483,0.021619577919846016
ct90000004,0.038579067990832695,0.01966893865628043
ct90000005,0.0456024847030817,0.023333269893230306
ct90000006,0.048891326490636995,0.025058228254758654
ct90000007,0.04823406478578893,0.0247130375192736
ct90000008,0.05940234705811187,0.030610336443548554
ct90000009,0.05373436228920696,0.027608955965748628
ct40000000,0.029667681563036608,0.015057196842089846
ct40000001,0.021595294982539974,0.010915509313019649
ct40000002,0.043302830519055376,0.022130573496225974
ct40000003,0.0404339567974761,0.020634138327583373
ct40000004,0.04853816819428648,0.024872722286027736
ct40000005,0.048976742477128264,0.025103105402911434
ct40000006,0.05269154656485498,0.027058654458108358
ct40000007,0.06796354480023174,0.0351771544565418
Average Scores,0.04390208000765448,0.022476713089321164
