Scan Name,Dice Coefficient,Jaccard Index
ct40000006,0.9311719431530825,0.8712083643276304
ct90000008,0.8963713931831735,0.8122038407182642
ct90000005,0.8991988270408965,0.8168585291599277
ct90000002,0.9370883326805995,0.8816239029945736
ct90000001,0.952274091276779,0.908896194461048
ct90000000,0.949754619553621,0.9043168741670188
ct40000000,0.9012316913460225,0.8202199537863055
ct40000007,0.9012052262664527,0.8201761127824502
ct40000001,0.9352399627758575,0.8783574984782981
ct90000007,0.9261485272063285,0.8624549583164538
ct40000003,0.9245014757756821,0.8596027376629461
ct90000003,0.9222111822005962,0.8556510950666001
ct90000006,0.898569143458159,0.815819838459396
ct90000009,0.9072375890506669,0.8302240084031695
ct90000004,0.9180343547955163,0.8484875271820802
ct40000005,0.9368728204398263,0.8812424688713348
Average Scores,0.9210694487627038,0.8542089940523436
