Scan Name,Dice Coefficient,Jaccard Index
ct90000000,0.03931156506353547,0.020049878585023297
ct90000001,0.042730997111005926,0.021831949030988358
ct90000002,0.04998357963875205,0.025632389100340193
ct90000003,0.05471257414595621,0.028125701846828947
ct90000004,0.05294837964160673,0.027194132445168835
ct90000005,0.06418380581804706,0.033155940120218996
ct90000006,0.05843747543818282,0.030098168201599027
ct90000007,0.06814096400652146,0.03527222366484896
ct90000008,0.05615994088427275,0.028891235480464624
ct90000009,0.06758941423984055,0.034976735657475534
ct40000000,0.038138099153288044,0.01943974707742078
ct40000001,0.05447869010353961,0.028002104025495838
ct40000002,0.049820102579805556,0.025546413767114685
ct40000003,0.06046622643010582,0.031175650176388545
ct40000004,0.061843933635800506,0.03190864487595881
ct40000005,0.060866013071895424,0.03138824520749947
ct40000006,0.06244435451234318,0.03222841865613969
ct40000007,0.08113499338817043,0.04228280421426402
Average Scores,0.05685506160348165,0.029288910118513256
