Scan Name,Dice Coefficient,Jaccard Index
ct90000000,0.8681101129756885,0.7669563293457031
ct90000001,0.8704998308834776,0.7706947326660156
ct90000002,0.8726395417345794,0.7740554809570312
ct90000003,0.8765770707624795,0.7802734375
ct90000004,0.8798030903869821,0.785400390625
ct90000005,0.8899634990133723,0.8017425537109375
ct90000006,0.8963937794168414,0.8122406005859375
ct90000007,0.9035003879560052,0.8239860534667969
ct90000008,0.9005871498070793,0.81915283203125
ct90000009,0.909262638009624,0.8336219787597656
ct40000000,0.8511072835724084,0.7408065795898438
ct40000001,0.8600353107958845,0.7544403076171875
ct40000002,0.8623777565133239,0.7580528259277344
ct40000003,0.8695207805509138,0.7691612243652344
ct40000004,0.876988555431083,0.7809257507324219
ct40000005,0.889260344436747,0.8006019592285156
ct40000006,0.8992275730593272,0.8169059753417969
ct40000007,0.9118388745794512,0.8379631042480469
Average Scores,0.8826496433269594,0.7903878953721788
